Reference,Data.source,Region,Seamounts,Measurement,Phylum,Class,Order,Family,Taxon,Recovery.potential,time.since.TC,Type.n,n.TC,n.TA,n.NT,m.TC,m.TA,m.NT,s.TC,s.TA,s.NT,pre.S.TA,pre.S.NT,S.pooled.TA,S.pooled.NT,d.TA,d.NT,df.TA,df.NT,J.TA,J.NT,g.TA,g.NT,TA.Vd,NT.Vd,TA.Vg,NT.Vg,se.TA,se.NT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Echinoidea,,,Echinoids,Medium,8,number of images,375,234,220,0.004065041,0.004197941,0.142711089,0.078719174,0.064216154,0.5285207,0.005400979,0.005431134,0.073491355,0.073696227,-0.001808385,-1.881318139,607,593,0.998763906,0.998734711,-0.00180615,-1.878937728,0.006940174,0.010186372,0.006923027,0.01016061,0.163081268,0.197567713,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Echinoidea,,,Echinoids,Medium,10,number of images,196,222,95,0.045287978,0.104528258,0.162198544,0.259100489,0.271340956,0.386530652,0.070582391,0.069244925,0.265673466,0.263144305,-0.222981544,-0.444283094,416,289,0.998196031,0.997402597,-0.222579292,-0.443129112,0.00966602,0.01596751,0.009631177,0.01588467,0.192351578,0.247027424,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Echinoidea,,,Echinoids,Medium,15,number of images,270,343,347,0.002831578,0.016740919,0.064216536,0.04652757,0.196252708,0.430649812,0.02251147,0.022615559,0.150038228,0.150384702,-0.092705315,-0.408186185,611,615,0.998772002,0.998779992,-0.092591473,-0.407688194,0.006626166,0.006720569,0.006609902,0.006704181,0.159350553,0.160482962,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echiura,,,,Echiurans,High,0,number of images,107,131,52,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echiura,,,,Echiurans,High,0,number of images,35,32,13,0,0.03125,0.961538462,0,0.176776695,2.200750973,0.014903846,0.008152174,0.12208131,0.09028939,-0.255976939,-10.64951777,65,46,0.988416988,0.983606557,-0.253011956,-10.47493551,0.060310415,1.286871889,0.058921354,1.245025208,0.475764936,2.186981673,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echiura,,,,Echiurans,High,5,number of images,330,199,90,0.052387686,0.05246306,0.252372753,0.324651985,0.25393032,0.758807511,0.090025431,0.096686641,0.300042382,0.310944755,-0.000251212,-0.643153048,527,418,0.998576175,0.998204668,-0.000250854,-0.641998375,0.008055429,0.01463385,0.008032506,0.014581352,0.175663528,0.236676404,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echiura,,,,Echiurans,High,8,number of images,375,234,220,0.039190361,0.082962873,0.536244666,0.274091602,0.413932599,1.301013158,0.11205843,0.11065886,0.334751296,0.332654265,-0.130761292,-1.494206918,607,593,0.998763906,0.998734711,-0.130599659,-1.492316315,0.006954209,0.009088301,0.006937028,0.009065317,0.163246088,0.18661544,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echiura,,,,Echiurans,High,10,number of images,196,222,95,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,416,289,0.998196031,0.997402597,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echiura,,,,Echiurans,High,15,number of images,270,343,347,0.076879627,0.045310459,0.161038637,0.420279076,0.383061851,0.757946504,0.159899384,0.159813771,0.39987421,0.399767146,0.078947748,-0.210520077,611,615,0.998772002,0.998779992,0.0788508,-0.21026324,0.006624239,0.006621463,0.00660798,0.006605316,0.15932739,0.159295268,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco et al. 2019,Supplementary material,Hawaii,Emperor/NWHR,ind/transect (std to mean no. images per transect),Cnidaria,Anthozoa,Scleractinia,Dendrophyllidae,Eguchipsammia,Medium,30,number of transects,52,46,NA,22.2023695,21.36986255,NA,71.37845467,43.22975584,NA,3582.662541,#VALUE!,59.8553468,#VALUE!,0.013908648,#VALUE!,96,#VALUE!,0.992167102,#VALUE!,0.013799703,#VALUE!,0.040970887,#VALUE!,0.040331559,#VALUE!,0.393621286,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Scleractinia,Dendrophyllidae,Enallopsammia spp,Low,0,number of images,107,131,52,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Scleractinia,Dendrophyllidae,Enallopsammia spp,Low,10,number of images,196,222,95,0.120338464,0,0.004095843,0.747534912,0,0.039921337,0.261941458,0.377050681,0.511802167,0.614044527,0.235126913,0.189306501,416,289,0.998196031,0.997402597,0.234702751,0.188814796,0.009672675,0.015689932,0.009637808,0.015608532,0.192417787,0.244870856,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Zoantharia,Epizoanthidae,Epizoanthidae,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Zoantharia,Epizoanthidae,Epizoanthidae,High,5,number of images,330,199,90,0.007969598,0.018125621,0.02212197,0.087255689,0.158714508,0.137128394,0.01421734,0.011355971,0.119236487,0.106564399,-0.085175466,-0.132805817,527,418,0.998576175,0.998204668,-0.085054191,-0.132567387,0.008062286,0.014162411,0.008039344,0.014111604,0.175738278,0.232832856,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Zoantharia,Epizoanthidae,Epizoanthidae,High,8,number of images,375,234,220,0.029386313,0,0.013493683,0.246290175,0,0.142871007,0.037374646,0.038257015,0.193325233,0.195594006,0.152004537,0.081253154,607,593,0.998763906,0.998734711,0.151816645,0.081150346,0.006959141,0.007217669,0.006941947,0.007199416,0.163303963,0.166304768,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Zoantharia,Epizoanthidae,Epizoanthidae,High,15,number of images,270,343,347,0,0,0.01358135,0,0,0.185459455,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco et al. 2019,Supplementary material,Hawaii,Emperor/NWHR,ind/transect (std to mean no. images per transect),Cnidaria,Anthozoa,Zoantharia,Epizoanthidae,Epizoanthidae,High,30,number of transects,52,46,NA,0.069577044,2.360254744,NA,0.312369783,12.76290333,NA,76.40732166,#VALUE!,8.741128169,#VALUE!,-0.262057443,#VALUE!,96,#VALUE!,0.992167102,#VALUE!,-0.260004774,#VALUE!,0.041320278,#VALUE!,0.040675498,#VALUE!,0.395296082,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Platyhelminthes,,,,Flatworm,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Platyhelminthes,,,,Flatworm,High,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Platyhelminthes,,,,Flatworm,High,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Platyhelminthes,,,,Flatworm,High,15,number of images,270,343,347,0.009305788,0,0,0.152909703,0,0,0.010293929,0.010226976,0.101459001,0.101128515,0.091719691,0.092019429,611,615,0.998772002,0.998779992,0.091607059,0.091907165,0.006626017,0.00659241,0.006609754,0.006576334,0.15934877,0.158945417,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Foraminifera,,,,Foraminifera,Medium,0,number of images,107,131,52,0.002632618,0,0.005417118,0.027232014,0,0.039063394,0.000333084,0.000500686,0.018250581,0.022376021,0.144248458,-0.124441246,236,157,0.996818664,0.995215311,0.143789555,-0.123845833,0.017023096,0.028625261,0.016914956,0.02835199,0.254912717,0.330025763,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Foraminifera,,,,Foraminifera,Medium,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Foraminifera,,,,Foraminifera,Medium,5,number of images,330,199,90,0.043512826,0.077754698,0.203314837,0.298257569,0.378123327,0.657517288,0.109253394,0.100459374,0.330535011,0.316953267,-0.103595296,-0.504181618,527,418,0.998576175,0.998204668,-0.103447794,-0.503276444,0.008065572,0.014444032,0.008042621,0.014392215,0.175774093,0.235136414,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Foraminifera,,,,Foraminifera,Medium,8,number of images,375,234,220,0.058975412,0.738000236,0.484342774,0.438143084,3.237896227,1.410520456,4.142606279,3.992894441,2.035339352,1.998222821,-0.333617499,-0.212872837,607,593,0.998763906,0.998734711,-0.333205116,-0.212603492,0.007031551,0.007250201,0.007014178,0.007231865,0.164151354,0.166679134,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Foraminifera,,,,Foraminifera,Medium,10,number of images,196,222,95,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,416,289,0.998196031,0.997402597,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Foraminifera,,,,Foraminifera,Medium,15,number of images,270,343,347,0.577640573,1.049887429,0.668887854,2.332364371,2.901729227,1.966564412,7.108004182,7.116537699,2.666084054,2.667683958,-0.177131271,-0.034204682,611,615,0.998772002,0.998779992,-0.176913754,-0.034162952,0.006644747,0.006586496,0.006628438,0.006570435,0.159573829,0.158874109,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Arthropoda,Malacostraca,Decapoda,,Galatheoidea,High,0,number of images,107,131,52,1.146800996,1.137231262,0.106843997,1.798658684,1.681515123,0.294318989,3.010603597,3.102741995,1.735109102,1.761460188,0.00551535,0.590394836,236,157,0.996818664,0.995215311,0.005497804,0.58756998,0.016979446,0.029672683,0.016871583,0.029389413,0.254585692,0.33600948,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Galatheoidea,High,0,number of images,35,32,13,0,0,0.153846154,0,0,0.554700196,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Galatheoidea,High,5,number of images,330,199,90,0.04530342,0.025468766,0.182693355,0.329608312,0.256973111,0.868868555,0.092633899,0.099569929,0.304358176,0.315547032,0.065168789,-0.4354024,527,418,0.998576175,0.998204668,0.065076,-0.434620708,0.008059443,0.014367099,0.008036509,0.014315558,0.17570729,0.234509375,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Galatheoidea,High,8,number of images,375,234,220,0.703298398,0.268575744,1.291575649,1.932783316,1.299492168,2.823137844,2.949911069,2.979687185,1.717530515,1.726177043,0.25310913,-0.340797749,607,593,0.998763906,0.998734711,0.252796263,-0.340366542,0.006992769,0.00730972,0.006975492,0.007291234,0.163698046,0.167361901,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Arthropoda,Malacostraca,Decapoda,,Galatheoidea,High,10,number of images,196,222,95,0.517316966,0.309697452,0.040442681,1.197837107,0.885651199,0.253625452,1.089269775,1.223253337,1.043680878,1.106007838,0.198930074,0.431167184,416,289,0.998196031,0.997402597,0.19857121,0.430047269,0.009653882,0.015947781,0.009619082,0.015865043,0.192230766,0.246874766,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Decapoda,,Galatheoidea,High,15,number of images,270,343,347,1.79229071,0.323490133,2.418121753,4.07722265,1.254076616,4.379592296,8.199105518,8.156006998,2.863408025,2.855872371,0.512955389,-0.21913831,611,615,0.998772002,0.998779992,0.51232548,-0.218870959,0.006833775,0.006624463,0.006817001,0.00660831,0.161827664,0.159331359,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Mollusca,Gastropoda,,,Gastropods,High,0,number of images,107,131,52,0,0.005785348,0.005417118,0,0.048176127,0.039063394,0.001278483,0.000753936,0.035755887,0.027457889,-0.161801277,-0.19728822,236,157,0.996818664,0.995215311,-0.161286532,-0.196344258,0.017034381,0.028698962,0.01692617,0.028424988,0.254997203,0.330450348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Gastropoda,,,Gastropods,High,0,number of images,35,32,13,0.73622449,1.157366071,0.153846154,1.41317772,2.124564533,0.554700196,3.197345095,2.653602534,1.78811216,1.628988193,-0.235523023,0.357509243,65,46,0.988416988,0.983606557,-0.232794957,0.351648436,0.060235392,0.106825889,0.058848059,0.10335211,0.47546893,0.630109091,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Gastropoda,,,Gastropods,High,5,number of images,330,199,90,0.517565645,0.287932886,0.115294315,1.017377693,0.837255632,0.49391441,0.90954702,0.963929683,0.953701746,0.981799207,0.240780475,0.409728718,527,418,0.998576175,0.998204668,0.240437645,0.408993119,0.008110226,0.014341268,0.008087147,0.01428982,0.17625999,0.234298469,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Gastropoda,,,Gastropods,High,8,number of images,375,234,220,0.635367907,0.464604909,0.224900801,1.438075897,0.943374717,0.785748995,1.615840214,1.63297745,1.271157037,1.277880061,0.134336666,0.321209415,607,593,0.998763906,0.998734711,0.134170613,0.320802992,0.006954987,0.007298823,0.006937804,0.007280365,0.163255222,0.167237105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Mollusca,Gastropoda,,,Gastropods,High,10,number of images,196,222,95,0.003356606,0.002310002,0,0.046992481,0.034418259,0,0.001664465,0.001875333,0.040797856,0.043305112,0.025653395,0.077510614,416,289,0.998196031,0.997402597,0.025607117,0.077309288,0.009607333,0.015638679,0.009572701,0.015557545,0.191766756,0.244470581,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Gastropoda,,,Gastropods,High,15,number of images,270,343,347,0.669914182,0.234611855,0.102449006,1.893918048,0.736219262,0.458995044,1.882575137,1.873856071,1.372069655,1.368888626,0.317259641,0.414544445,611,615,0.998772002,0.998779992,0.316870047,0.414038697,0.006701255,0.006724808,0.006684807,0.00670841,0.160250908,0.160533568,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,,Gorgonian,Low,0,number of images,107,131,52,0.124277577,0.03694636,0.118485271,0.297427397,0.16264625,0.263233422,0.054305417,0.068319923,0.233035226,0.261380801,0.374755434,0.022160414,236,157,0.996818664,0.995215311,0.373563211,0.022054383,0.017274428,0.028578108,0.017164691,0.028305287,0.25678761,0.329753836,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,,Gorgonian,Low,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,,Gorgonian,Low,5,number of images,330,199,90,0.006475625,0.012938804,0,0.083235957,0.107207693,0,0.008643447,0.007900255,0.092970143,0.088883377,-0.069518873,0.072855296,527,418,0.998576175,0.998204668,-0.06941989,0.072724497,0.008059997,0.014147733,0.008037061,0.014096979,0.175713326,0.23271217,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,,Gorgonian,Low,8,number of images,375,234,220,0.012756457,0.76708004,0.095256263,0.150596101,3.127206098,0.405416568,3.767852397,3.625926734,1.941095669,1.904186633,-0.388607112,-0.043325483,607,593,0.998763906,0.998734711,-0.388126757,-0.043270664,0.007064157,0.007213699,0.007046704,0.007195455,0.164531514,0.166259018,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alcyonacea,,Gorgonian,Low,10,number of images,196,222,95,0.206557848,0.34403512,0.03718796,0.762824832,1.385739578,0.144550868,1.29291209,1.017220101,1.137062923,1.0085733,-0.120905598,0.167930172,416,289,0.998196031,0.997402597,-0.120687488,0.16749399,0.009624031,0.015676811,0.00958934,0.015595479,0.19193334,0.244768445,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alcyonacea,,Gorgonian,Low,15,number of images,270,343,347,0.003703704,1.054778925,0.893347877,0.060858062,3.684444377,2.282244825,7.600148743,7.639010412,2.756836728,2.763875976,-0.381261324,-0.321882813,611,615,0.998772002,0.998779992,-0.380793136,-0.321490113,0.00673772,0.00666951,0.006721183,0.006653246,0.160686324,0.159872165,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco et al. 2019,Supplementary material,Hawaii,Emperor/NWHR,ind/transect (std to mean no. images per transect),Cnidaria,Anthozoa,Alcyonacea,,Gorgonian,Low,30,number of transects,52,46,NA,950.4002163,116.1999015,NA,1860.615554,184.9149789,NA,1855157.416,#VALUE!,1362.041635,#VALUE!,0.612463153,#VALUE!,96,#VALUE!,0.992167102,#VALUE!,0.607665792,#VALUE!,0.042883732,#VALUE!,0.042214555,#VALUE!,0.402705147,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Holothuroidea,,,Holothurians,High,0,number of images,107,131,52,0.002632618,0.004300613,0.005417118,0.027232014,0.034671623,0.039063394,0.000995269,0.000891184,0.031547888,0.029852711,-0.052871834,-0.093274608,236,157,0.996818664,0.995215311,-0.052703631,-0.092828318,0.016985255,0.028603923,0.016877355,0.028330856,0.254629236,0.329902736,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Holothuroidea,,,Holothurians,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Holothuroidea,,,Holothurians,High,5,number of images,330,199,90,0.003598935,0,0,0.065377896,0,0,0.002668377,0.003364198,0.051656334,0.058001703,0.069670734,0.062048776,527,418,0.998576175,0.998204668,0.069571535,0.061937378,0.008060017,0.014145998,0.008037081,0.01409525,0.175713544,0.232697896,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Holothuroidea,,,Holothurians,High,8,number of images,375,234,220,0.005979073,0.013007826,0.025847202,0.115784255,0.140713222,0.203800155,0.015860446,0.015767433,0.125938263,0.12556844,-0.055811094,-0.158225495,607,593,0.998763906,0.998734711,-0.055742106,-0.158025294,0.006942728,0.007233159,0.006925575,0.007214867,0.16311128,0.166483129,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Holothuroidea,,,Holothurians,High,10,number of images,196,222,95,0.008793732,0.000699457,0.002179361,0.057378525,0.010421678,0.021241788,0.001600963,0.002256772,0.040012037,0.047505491,0.20229598,0.139233801,416,289,0.998196031,0.997402597,0.201931044,0.138872154,0.009655497,0.015661666,0.009620692,0.015580412,0.192246848,0.244650183,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Holothuroidea,,,Holothurians,High,15,number of images,270,343,347,0.003645378,0,0.037911413,0.059899667,0,0.387288612,0.001579646,0.001569372,0.039744766,0.039615304,0.091719691,-0.864969636,611,615,0.998772002,0.998779992,0.091607059,-0.863914366,0.006626017,0.007191847,0.006609754,0.007174309,0.15934877,0.166014536,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Hydrozoa,,,Hydroid,High,0,number of images,107,131,52,0.445141436,1.714842016,0,1.491650075,2.668492492,0,4.921876685,3.81538583,2.218530298,1.953301265,-0.572316087,0.227891849,236,157,0.996818664,0.995215311,-0.570495357,0.226801457,0.017667503,0.02873988,0.01755527,0.028465515,0.259692749,0.330685839,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Hydrozoa,,,Hydroid,High,0,number of images,35,32,13,0,0.104166667,0,0,0.589255651,0,0.165598291,0.09057971,0.406937699,0.300964633,-0.255976939,0,65,46,0.988416988,0.983606557,-0.253011956,0,0.060310415,0.105494505,0.058921354,0.10206402,0.475764936,0.626170217,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Hydrozoa,,,Hydroid,High,5,number of images,330,199,90,0.153500452,1.19798178,0.868589503,1.061445591,3.448775945,2.083564174,5.172099339,3.419244736,2.274224997,1.84911999,-0.459269127,-0.386718577,527,418,0.998576175,0.998204668,-0.458615207,-0.386024288,0.008254794,0.014319451,0.008231304,0.014268081,0.177824002,0.234120184,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Hydrozoa,,,Hydroid,High,8,number of images,375,234,220,0.21125369,0.768932474,0.836927287,0.87559545,2.047588726,2.518203491,2.081736358,2.031901003,1.442822358,1.42544765,-0.386519366,-0.438931305,607,593,0.998763906,0.998734711,-0.386041592,-0.43837593,0.007062829,0.007374021,0.007045379,0.007355372,0.164516041,0.168096395,,,,,,,,,,,,,,,,,,,,,,,,,,,
